DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 180437(hhmmss KST),AGE OF EMPIRES III,2,48230,16,1227030,"{""en"":2}","['doppelsolna', 'the_dunamai']","['Doppelsolna', 'The_Dunamai']","['English', 'aoe3', 'aoe3de', 'bot', 'sheep']"
23-06-01 180637(hhmmss KST),AGE OF EMPIRES III,2,48091,20,1222759,"{""en"":2}","['doppelsolna', 'the_dunamai']","['Doppelsolna', 'The_Dunamai']","['English', 'aoe3', 'aoe3de', 'bot', 'sheep']"
23-06-01 182124(hhmmss KST),AGE OF EMPIRES III,3,47643,12,1200370,"{""en"":3}","['doppelsolna', 'the_dunamai', 'haelfie']","['Doppelsolna', 'The_Dunamai', 'Haelfie']","['Depression', 'English', 'aoe3', 'aoe3de', 'bot', 'sheep', 'turkishspeakersonly', 'türkish']"
23-06-01 182324(hhmmss KST),AGE OF EMPIRES III,3,47533,12,1202358,"{""en"":3}","['doppelsolna', 'the_dunamai', 'haelfie']","['Doppelsolna', 'The_Dunamai', 'Haelfie']","['Depression', 'English', 'aoe3', 'aoe3de', 'bot', 'sheep', 'turkishspeakersonly', 'türkish']"
23-06-01 183809(hhmmss KST),AGE OF EMPIRES III,3,47091,22,1249384,"{""en"":3}","['doppelsolna', 'the_dunamai', 'haelfie']","['Doppelsolna', 'The_Dunamai', 'Haelfie']","['Depression', 'English', 'aoe3', 'aoe3de', 'bot', 'sheep', 'turkishspeakersonly', 'türkish']"
23-06-01 184011(hhmmss KST),AGE OF EMPIRES III,3,47134,18,1248240,"{""en"":3}","['doppelsolna', 'the_dunamai', 'haelfie']","['Doppelsolna', 'The_Dunamai', 'Haelfie']","['Depression', 'English', 'aoe3', 'aoe3de', 'bot', 'sheep', 'turkishspeakersonly', 'türkish']"
23-06-01 185456(hhmmss KST),AGE OF EMPIRES III,3,47139,16,1291160,"{""en"":3}","['doppelsolna', 'the_dunamai', 'haelfie']","['Doppelsolna', 'The_Dunamai', 'Haelfie']","['Depression', 'English', 'aoe3', 'aoe3de', 'bot', 'sheep', 'turkishspeakersonly', 'türkish']"
23-06-01 185657(hhmmss KST),AGE OF EMPIRES III,3,47184,15,1288305,"{""en"":3}","['doppelsolna', 'the_dunamai', 'haelfie']","['Doppelsolna', 'The_Dunamai', 'Haelfie']","['Depression', 'English', 'aoe3', 'aoe3de', 'bot', 'sheep', 'turkishspeakersonly', 'türkish']"
23-06-01 191145(hhmmss KST),AGE OF EMPIRES III,3,47741,15,1324388,"{""en"":2,""tr"":1}","['doppelsolna', 'blackburne_aoe', 'haelfie']","['Doppelsolna', 'blackburne_aoe', 'Haelfie']","['Depression', 'English', 'Türkçe', 'english', 'multitasking', 'turkishspeakersonly', 'türkish']"
23-06-01 191344(hhmmss KST),AGE OF EMPIRES III,3,47859,14,1337895,"{""en"":2,""tr"":1}","['doppelsolna', 'blackburne_aoe', 'haelfie']","['Doppelsolna', 'blackburne_aoe', 'Haelfie']","['Depression', 'English', 'Türkçe', 'english', 'multitasking', 'turkishspeakersonly', 'türkish']"
23-06-01 192835(hhmmss KST),AGE OF EMPIRES III,3,48267,20,1385603,"{""en"":2,""tr"":1}","['doppelsolna', 'blackburne_aoe', 'haelfie']","['Doppelsolna', 'blackburne_aoe', 'Haelfie']","['Depression', 'English', 'Türkçe', 'english', 'multitasking', 'turkishspeakersonly', 'türkish']"
23-06-01 193034(hhmmss KST),AGE OF EMPIRES III,3,48291,18,1383806,"{""en"":2,""tr"":1}","['doppelsolna', 'blackburne_aoe', 'haelfie']","['Doppelsolna', 'blackburne_aoe', 'Haelfie']","['Depression', 'English', 'Türkçe', 'english', 'multitasking', 'turkishspeakersonly', 'türkish']"
23-06-01 194524(hhmmss KST),AGE OF EMPIRES III,4,48805,37,1436602,"{""en"":3,""tr"":1}","['doppelsolna', 'blackburne_aoe', 'yukietti', 'haelfie']","['Doppelsolna', 'blackburne_aoe', 'Yukietti', 'Haelfie']","['Depression', 'English', 'Türkçe', 'english', 'multitasking', 'turkishspeakersonly', 'türkish']"
23-06-01 194725(hhmmss KST),AGE OF EMPIRES III,4,48813,35,1451833,"{""en"":3,""tr"":1}","['doppelsolna', 'blackburne_aoe', 'yukietti', 'haelfie']","['Doppelsolna', 'blackburne_aoe', 'Yukietti', 'Haelfie']","['Depression', 'English', 'Türkçe', 'english', 'multitasking', 'turkishspeakersonly', 'türkish']"
23-06-01 200224(hhmmss KST),AGE OF EMPIRES III,3,50093,37,1467920,"{""en"":3}","['yukietti', 'doppelsolna', 'haelfie']","['Yukietti', 'Doppelsolna', 'Haelfie']","['Depression', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 200424(hhmmss KST),AGE OF EMPIRES III,3,50382,39,1457780,"{""en"":3}","['yukietti', 'doppelsolna', 'haelfie']","['Yukietti', 'Doppelsolna', 'Haelfie']","['Depression', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 201926(hhmmss KST),AGE OF EMPIRES III,1,51612,1,1501929,"{""en"":1}",['haelfie'],['Haelfie'],"['Depression', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 202129(hhmmss KST),AGE OF EMPIRES III,1,51873,2,1537116,"{""en"":1}",['haelfie'],['Haelfie'],"['Depression', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 203636(hhmmss KST),AGE OF EMPIRES III,1,53211,1,1574082,"{""en"":1}",['haelfie'],['Haelfie'],"['Depression', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 203848(hhmmss KST),AGE OF EMPIRES III,1,53631,4,1597775,"{""en"":1}",['haelfie'],['Haelfie'],"['Depression', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 205352(hhmmss KST),AGE OF EMPIRES III,2,55260,5,1678240,"{""en"":2}","['iamturk', 'haelfie']","['iamturk', 'Haelfie']","['Depression', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 205609(hhmmss KST),AGE OF EMPIRES III,3,55367,5,1681106,"{""en"":2,""de"":1}","['iamturk', 'haelfie', 'captainbananarama']","['iamturk', 'Haelfie', 'CaptainBananarama']","['Depression', 'Deutsch', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 210522(hhmmss KST),AGE OF EMPIRES III,3,57650,44,1690181,"{""en"":2,""de"":1}","['iamturk', 'haelfie', 'captainbananarama']","['iamturk', 'Haelfie', 'CaptainBananarama']","['Depression', 'Deutsch', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 211108(hhmmss KST),AGE OF EMPIRES III,3,58727,36,1754375,"{""en"":2,""de"":1}","['iamturk', 'captainbananarama', 'haelfie']","['iamturk', 'CaptainBananarama', 'Haelfie']","['Depression', 'Deutsch', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 211331(hhmmss KST),AGE OF EMPIRES III,3,59242,46,1769612,"{""en"":2,""de"":1}","['iamturk', 'captainbananarama', 'haelfie']","['iamturk', 'CaptainBananarama', 'Haelfie']","['Depression', 'Deutsch', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 212831(hhmmss KST),AGE OF EMPIRES III,4,61703,82,1847261,"{""en"":2,""de"":2}","['iamturk', 'ezad97', 'captainbananarama', 'haelfie']","['iamturk', 'Ezad97', 'CaptainBananarama', 'Haelfie']","['Depression', 'Deutsch', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 213057(hhmmss KST),AGE OF EMPIRES III,4,62166,70,1844831,"{""en"":2,""de"":2}","['iamturk', 'ezad97', 'captainbananarama', 'haelfie']","['iamturk', 'Ezad97', 'CaptainBananarama', 'Haelfie']","['Depression', 'Deutsch', 'English', 'turkishspeakersonly', 'türkish']"
23-06-01 214643(hhmmss KST),AGE OF EMPIRES III,5,64528,79,1909852,"{""en"":3,""de"":2}","['iamturk', 'ezad97', 'haelfie', 'captainbananarama', 'baschkovv']","['iamturk', 'Ezad97', 'Haelfie', 'CaptainBananarama', 'BASCHKOVV']","['Depression', 'Deutsch', 'English', 'turkishspeakersonly', 'türkish']"
