DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-02 075007(hhmmss KST),AGE OF EMPIRES,3,107158,17,3198789,"{""ko"":1,""en"":1,""fr"":1}","['aoerobot', 'kagawa_aoe', 'smnchalif']","['aoerobot', 'kagawa_aoe', 'SmNchalif']","['English', 'PVPWithViewers', 'PvP', '드롭활성화됨', '한국어']"
23-06-02 075431(hhmmss KST),AGE OF EMPIRES,2,108828,13,3178791,"{""ko"":1,""fr"":1}","['aoerobot', 'smnchalif']","['aoerobot', 'SmNchalif']","['드롭활성화됨', '한국어']"
23-06-02 080932(hhmmss KST),AGE OF EMPIRES,3,116475,13,3162350,"{""ko"":1,""fr"":1,""es"":1}","['aoerobot', 'smnchalif', 'jepi29a']","['aoerobot', 'SmNchalif', 'jepi29a']","['Español', 'Latinoamérica', '드롭활성화됨', '한국어']"
23-06-02 081402(hhmmss KST),AGE OF EMPIRES,3,117677,14,3132210,"{""ko"":1,""es"":1,""fr"":1}","['aoerobot', 'jepi29a', 'smnchalif']","['aoerobot', 'jepi29a', 'SmNchalif']","['Español', 'Latinoamérica', '드롭활성화됨', '한국어']"
23-06-02 082902(hhmmss KST),AGE OF EMPIRES,4,118954,17,3037852,"{""ko"":1,""es"":1,""zh"":1,""fr"":1}","['aoerobot', 'jepi29a', 'iamkyo1114', 'smnchalif']","['aoerobot', 'jepi29a', 'iamkyo1114', 'SmNchalif']","['Español', 'Latinoamérica', '中文', '드롭활성화됨', '한국어']"
23-06-02 083336(hhmmss KST),AGE OF EMPIRES,4,119299,16,3048099,"{""ko"":1,""es"":1,""zh"":1,""fr"":1}","['aoerobot', 'jepi29a', 'iamkyo1114', 'smnchalif']","['aoerobot', 'jepi29a', 'iamkyo1114', 'SmNchalif']","['Español', 'Latinoamérica', '中文', '드롭활성화됨', '한국어']"
23-06-02 084833(hhmmss KST),AGE OF EMPIRES,6,119885,19,2962618,"{""en"":2,""ko"":1,""de"":1,""es"":1,""fr"":1}","['aoerobot', 'phobos0815', 'jepi29a', 'ieatbullets26', 'smnchalif', 'candykiss_999']","['aoerobot', 'phobos0815', 'jepi29a', 'ieatbullets26', 'SmNchalif', 'candykiss_999']","['Action', 'English', 'Español', 'Latinoamérica', 'ageofempires', 'builder', 'gamergirl', 'pc', '드롭활성화됨', '한국어']"
23-06-02 085310(hhmmss KST),AGE OF EMPIRES,7,119910,19,2938151,"{""de"":2,""en"":2,""ko"":1,""es"":1,""fr"":1}","['aoerobot', 'phobos0815', 'jepi29a', 'ieatbullets26', 'gamestreamer77', 'smnchalif', 'candykiss_999']","['aoerobot', 'phobos0815', 'jepi29a', 'ieatbullets26', 'gamestreamer77', 'SmNchalif', 'candykiss_999']","['Action', 'Chaote', 'Community', 'Deutsch', 'English', 'Español', 'Latinoamérica', 'PC', 'ageofempires', 'builder', 'deutsch', 'gamergirl', 'gemütlich', 'gesprächig', 'pc', '드롭활성화됨', '한국어']"
23-06-02 090816(hhmmss KST),AGE OF EMPIRES,5,122205,16,2878678,"{""en"":2,""de"":2,""ko"":1}","['aoerobot', 'ieatbullets26', 'phobos0815', 'gamestreamer77', 'candykiss_999']","['aoerobot', 'ieatbullets26', 'phobos0815', 'gamestreamer77', 'candykiss_999']","['Action', 'Chaote', 'Community', 'Deutsch', 'English', 'PC', 'ageofempires', 'builder', 'deutsch', 'gamergirl', 'gemütlich', 'gesprächig', 'pc', '드롭활성화됨', '한국어']"
23-06-02 091300(hhmmss KST),AGE OF EMPIRES,5,123552,15,2870564,"{""de"":2,""ko"":1,""en"":1,""es"":1}","['aoerobot', 'phobos0815', 'ieatbullets26', 'jepi29a', 'gamestreamer77']","['aoerobot', 'phobos0815', 'ieatbullets26', 'jepi29a', 'gamestreamer77']","['Chaote', 'Community', 'Deutsch', 'English', 'Español', 'Latinoamérica', 'PC', 'deutsch', 'gemütlich', 'gesprächig', '드롭활성화됨', '한국어']"
23-06-02 092757(hhmmss KST),AGE OF EMPIRES,3,124022,15,2784106,"{""en"":1,""ko"":1,""de"":1}","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['Chaote', 'Community', 'Deutsch', 'English', 'PC', 'deutsch', 'gemütlich', 'gesprächig', '드롭활성화됨', '한국어']"
23-06-02 093245(hhmmss KST),AGE OF EMPIRES,3,124395,14,2749410,"{""en"":1,""ko"":1,""de"":1}","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['Chaote', 'Community', 'Deutsch', 'English', 'PC', 'deutsch', 'gemütlich', 'gesprächig', '드롭활성화됨', '한국어']"
23-06-02 094742(hhmmss KST),AGE OF EMPIRES,3,125234,15,2713761,"{""en"":1,""ko"":1,""de"":1}","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['Chaote', 'Community', 'Deutsch', 'English', 'PC', 'deutsch', 'gemütlich', 'gesprächig', '드롭활성화됨', '한국어']"
23-06-02 095231(hhmmss KST),AGE OF EMPIRES,3,125115,16,2722108,"{""en"":1,""ko"":1,""de"":1}","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['Chaote', 'Community', 'Deutsch', 'English', 'PC', 'deutsch', 'gemütlich', 'gesprächig', '드롭활성화됨', '한국어']"
23-06-02 100734(hhmmss KST),AGE OF EMPIRES,3,126615,9,2644952,"{""en"":1,""ko"":1,""de"":1}","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['ieatbullets26', 'aoerobot', 'gamestreamer77']","['Chaote', 'Community', 'Deutsch', 'English', 'PC', 'deutsch', 'gemütlich', 'gesprächig', '드롭활성화됨', '한국어']"
23-06-02 101230(hhmmss KST),AGE OF EMPIRES,3,127280,6,2643948,"{""ko"":1,""en"":1,""de"":1}","['aoerobot', 'ieatbullets26', 'gamestreamer77']","['aoerobot', 'ieatbullets26', 'gamestreamer77']","['Chaote', 'Community', 'Deutsch', 'English', 'PC', 'deutsch', 'gemütlich', 'gesprächig', '드롭활성화됨', '한국어']"
23-06-02 102731(hhmmss KST),AGE OF EMPIRES,3,127438,12,2587973,"{""en"":2,""ko"":1}","['aoerobot', 'ieatbullets26', 'remus_royal']","['aoerobot', 'ieatbullets26', 'remus_royal']","['English', '드롭활성화됨', '한국어']"
23-06-02 103225(hhmmss KST),AGE OF EMPIRES,3,127758,7,2587861,"{""en"":2,""ko"":1}","['aoerobot', 'ieatbullets26', 'remus_royal']","['aoerobot', 'ieatbullets26', 'remus_royal']","['English', '드롭활성화됨', '한국어']"
23-06-02 105218(hhmmss KST),AGE OF EMPIRES,4,127361,8,2542696,"{""ko"":1,""es"":1,""en"":1,""zh"":1}","['aoerobot', 'hotchinz_', 'remus_royal', 'mmagic32']","['aoerobot', 'HotChinz_', 'remus_royal', 'Mmagic32']","['English', 'Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 110715(hhmmss KST),AGE OF EMPIRES,5,127000,14,2550556,"{""en"":2,""es"":1,""ko"":1,""zh"":1}","['hotchinz_', 'aoerobot', 'mmagic32', 'ieatbullets26', 'remus_royal']","['HotChinz_', 'aoerobot', 'Mmagic32', 'ieatbullets26', 'remus_royal']","['English', 'Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 111212(hhmmss KST),AGE OF EMPIRES,5,126882,15,2494574,"{""en"":2,""es"":1,""ko"":1,""zh"":1}","['hotchinz_', 'aoerobot', 'mmagic32', 'ieatbullets26', 'remus_royal']","['HotChinz_', 'aoerobot', 'Mmagic32', 'ieatbullets26', 'remus_royal']","['English', 'Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 112706(hhmmss KST),AGE OF EMPIRES,5,125907,14,2489161,"{""en"":2,""ko"":1,""es"":1,""zh"":1}","['aoerobot', 'hotchinz_', 'mmagic32', 'ieatbullets26', 'remus_royal']","['aoerobot', 'HotChinz_', 'Mmagic32', 'ieatbullets26', 'remus_royal']","['English', 'Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 113202(hhmmss KST),AGE OF EMPIRES,4,125751,12,2483140,"{""es"":1,""ko"":1,""zh"":1,""en"":1}","['hotchinz_', 'aoerobot', 'mmagic32', 'remus_royal']","['HotChinz_', 'aoerobot', 'Mmagic32', 'remus_royal']","['English', 'Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 114700(hhmmss KST),AGE OF EMPIRES,3,123780,9,2441989,"{""ko"":1,""zh"":1,""en"":1}","['aoerobot', 'mmagic32', 'remus_royal']","['aoerobot', 'Mmagic32', 'remus_royal']","['English', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 115147(hhmmss KST),AGE OF EMPIRES,3,122845,13,2437616,"{""es"":1,""ko"":1,""zh"":1}","['hotchinz_', 'aoerobot', 'mmagic32']","['HotChinz_', 'aoerobot', 'Mmagic32']","['Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 120701(hhmmss KST),AGE OF EMPIRES,4,120376,15,2444908,"{""es"":1,""ko"":1,""zh"":1,""en"":1}","['hotchinz_', 'aoerobot', 'mmagic32', 'remus_royal']","['HotChinz_', 'aoerobot', 'Mmagic32', 'remus_royal']","['English', 'Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 121138(hhmmss KST),AGE OF EMPIRES,4,119543,19,2435632,"{""es"":1,""ko"":1,""zh"":1,""en"":1}","['hotchinz_', 'aoerobot', 'mmagic32', 'remus_royal']","['HotChinz_', 'aoerobot', 'Mmagic32', 'remus_royal']","['English', 'Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 122706(hhmmss KST),AGE OF EMPIRES,3,116229,16,2372821,"{""es"":1,""ko"":1,""zh"":1}","['hotchinz_', 'aoerobot', 'mmagic32']","['HotChinz_', 'aoerobot', 'Mmagic32']","['Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 123154(hhmmss KST),AGE OF EMPIRES,3,115854,13,2376169,"{""es"":1,""zh"":1,""ko"":1}","['hotchinz_', 'mmagic32', 'aoerobot']","['HotChinz_', 'Mmagic32', 'aoerobot']","['Español', 'español', 'mexico', '中文', '困難模式', '手殘', '新手', '드롭활성화됨', '한국어']"
23-06-02 124625(hhmmss KST),AGE OF EMPIRES,1,113000,10,2317889,"{""es"":1}",['hotchinz_'],['HotChinz_'],"['Español', 'español', 'mexico']"
23-06-02 125113(hhmmss KST),AGE OF EMPIRES,1,112111,9,2303844,"{""es"":1}",['hotchinz_'],['HotChinz_'],"['Español', 'español', 'mexico']"
23-06-02 130538(hhmmss KST),AGE OF EMPIRES,2,109707,11,2251143,"{""es"":1,""ko"":1}","['hotchinz_', 'aoerobot']","['HotChinz_', 'aoerobot']","['Español', 'español', 'mexico', '드롭활성화됨', '한국어']"
